footnote_id,source_name,source_type,url,retrieval_date,finding_category,api_key_required,notes
1,Enigma KYB API,MCP/API,https://enigma.com,2026-06-30,corporate_structure,YES - subscription,"Returned 19 state registrations, beneficial owners, formation date, officer names, registered agent (Corporation Service Company)"
2,Enigma Gov Archive - DC Business Licenses,MCP/API,https://enigma.com,2026-06-30,corporate_structure,YES - subscription,"Resource ID: 5c2035f1; confirmed active DC Basic Business License at 2300 N St NW Washington DC 20037"
3,Enigma Gov Archive - DC Campaign Finance,MCP/API,https://enigma.com,2026-06-30,political_activity,YES - subscription,"Resource ID: fac816f7; individual EverFi employees listed as employer in DC campaign contributions 2013-2022"
4,Enigma Gov Archive - NYC Campaign Finance,MCP/API,https://enigma.com,2026-06-30,political_activity,YES - subscription,"Resource ID: 34e8f0ef; EverFi listed as employer for NYC mayoral campaign donors 2017-2021"
5,Enigma Business Search,MCP/API,https://enigma.com,2026-06-30,corporate_structure,YES - subscription,"NAICS 611710 Educational Support Services; brand ID d48ddcaa-4174-4e8c-afe0-d7040a412b70"
6,Enigma Negative News,MCP/API,https://enigma.com,2026-06-30,risk_flags,YES - subscription,"Risk level: LOW; flagged COPPA/FERPA structural risk for student data; no major legal actions found"
7,Blackbaud Press Release - Acquisition,Web,https://www.blackbaud.com/newsroom/article/blackbaud-acquires-everfi-a-saas-leader-powering-corporate-esg-and-csr-initiatives-that-reach-millions-of-learners-each-year,2026-06-30,financials,"NO, public","$750M acquisition closed January 3 2022; $450M cash + 3844423 shares ~$300M; EverFi expected to add $120M 2022 revenue"
8,Blackbaud Press Release - EVERFI Sale,Web,https://www.prnewswire.com/news-releases/blackbaud-announces-sale-of-everfi-302341008.html,2026-06-30,financials,"NO, public","Sold December 31 2024 to unnamed private investment firm for nominal amount; $415M noncash impairment charge prior to sale"
9,Technical.ly DC - EverFi acquisition,Web,https://technical.ly/startups/everfi-acquired-blackbaud/,2026-06-30,financials,"NO, public","Founder Tom Davidson joined Blackbaud; COO Ellen Patterson; DC headquarters and UK offices maintained"
10,EverFi Press Release - $40M raise,Web,https://everfi.com/press-releases/everfi-raises-40-million-funding-major-technology-leaders/,2026-06-30,financials,"NO, public","$40M round led by Bezos Expeditions; investors include Jeff Bezos (Amazon) Eric Schmidt (Google) Evan Williams (Twitter) NEA Rethink Education"
11,EverFi - White House sexual assault partnership,Web,https://everfi.com/press-releases/everfi-partners-with-the-white-house-on-campus-sexual-assault-prevention-initiative/,2026-06-30,government_connections,"NO, public","White House It's On Us campaign partnership for Haven campus sexual assault prevention"
